"place_name","state_ut","district","city_or_town","nearest_major_city","category","visibility","tourism_type","tourism_potential","circuit","description","experience_tags","source"
"Balaji Temple Jagdalpur","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Religious","Offbeat","Heritage & Religion","High","Bastar-Jagdalpur Circuit","Balaji Temple Jagdalpur is a religious destination in Bastar, Chhattisgarh.","heritage, culture",""
"Bastar Palace","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Heritage","Famous","Heritage & Religion","High","Bastar-Jagdalpur Circuit","Bastar Palace is a heritage destination in Bastar, Chhattisgarh.","heritage, culture",""
"Bastar Dussehra","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Culture","Famous","Culture & Rural Tourism","High","Bastar-Jagdalpur Circuit","Bastar Dussehra is a culture destination in Bastar, Chhattisgarh.","culture, local traditions",""
"Anthropological Museum Bastar","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Museum","Offbeat","Culture & Museum","Medium","Bastar-Jagdalpur Circuit","Anthropological Museum Bastar is a museum destination in Bastar, Chhattisgarh.","culture, local traditions",""
"Dalpat Sagar","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Lake","Lesser-known","Nature","High","Bastar-Jagdalpur Circuit","Dalpat Sagar is a lake destination in Bastar, Chhattisgarh.","nature",""
"Chitrakote Falls","Chhattisgarh","Bastar","Chitrakote","Jagdalpur","Waterfall","Famous","Nature","High","Bastar-Jagdalpur Circuit","Major waterfall on the Indravati River and one of Chhattisgarh's best-known natural attractions.","nature, waterfalls",""
"Tirathgarh Falls","Chhattisgarh","Bastar","Kanger","Jagdalpur","Waterfall","Famous","Nature","High","Bastar-Jagdalpur Circuit","Tiered waterfall in the Kanger Valley landscape surrounded by forest.","nature, waterfalls",""
"Kanger Valley National Park","Chhattisgarh","Bastar","Kanger","Jagdalpur","Wildlife","Famous","Wildlife","High","Bastar-Jagdalpur Circuit","Protected forest landscape known for biodiversity, caves and waterfalls.","wildlife",""
"Kotumsar Cave","Chhattisgarh","Bastar","Kanger","Jagdalpur","Cave","Famous","Nature & Geology","High","Bastar-Jagdalpur Circuit","Kotumsar Cave is a cave destination in Bastar, Chhattisgarh.","nature, caves",""
"Kailash Cave","Chhattisgarh","Bastar","Kanger","Jagdalpur","Cave","Offbeat","Nature & Geology","High","Bastar-Jagdalpur Circuit","Kailash Cave is a cave destination in Bastar, Chhattisgarh.","nature, caves",""
"Dandak Cave","Chhattisgarh","Bastar","Kanger","Jagdalpur","Cave","Offbeat","Nature & Geology","High","Bastar-Jagdalpur Circuit","Dandak Cave is a cave destination in Bastar, Chhattisgarh.","nature, caves",""
"Chitradhara Waterfall","Chhattisgarh","Bastar","Potanar","Jagdalpur","Waterfall","Hidden","Nature","High","Bastar-Jagdalpur Circuit","Chitradhara Waterfall is a waterfall destination in Bastar, Chhattisgarh.","nature, waterfalls",""
"Tamda Ghumar Waterfall","Chhattisgarh","Bastar","Chitrakote","Jagdalpur","Waterfall","Hidden","Nature","High","Bastar-Jagdalpur Circuit","Tamda Ghumar Waterfall is a waterfall destination in Bastar, Chhattisgarh.","nature, waterfalls",""
"Mandawa Waterfall","Chhattisgarh","Bastar","Chitrakote","Jagdalpur","Waterfall","Hidden","Nature","High","Bastar-Jagdalpur Circuit","Mandawa Waterfall is a waterfall destination in Bastar, Chhattisgarh.","nature, waterfalls",""
"Mungabahar Waterfall","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Waterfall","Hidden","Nature","High","Bastar-Jagdalpur Circuit","Mungabahar Waterfall is a waterfall destination in Bastar, Chhattisgarh.","nature, waterfalls",""
"Tirathgarh Caves","Chhattisgarh","Bastar","Kanger","Jagdalpur","Cave","Hidden","Nature & Geology","High","Bastar-Jagdalpur Circuit","Tirathgarh Caves is a cave destination in Bastar, Chhattisgarh.","nature, caves",""
"Madarkonta Cave","Chhattisgarh","Bastar","Jagdalpur","Jagdalpur","Cave","Hidden","Nature & Geology","High","Bastar-Jagdalpur Circuit","Madarkonta Cave is a cave destination in Bastar, Chhattisgarh.","nature, caves",""
"Bade Dongar","Chhattisgarh","Bastar","Bade Dongar","Jagdalpur","Heritage","Hidden","Heritage & Religion","High","Bastar-Jagdalpur Circuit","Bade Dongar is a heritage destination in Bastar, Chhattisgarh.","heritage, culture",""
"Barsur","Chhattisgarh","Dantewada","Barsur","Jagdalpur","Heritage","Famous","Heritage & Religion","High","South Bastar Circuit","Historic settlement known for ancient temples and archaeological remains.","heritage, culture",""
"Mama Bhanja Temple Barsur","Chhattisgarh","Dantewada","Barsur","Jagdalpur","Temple","Hidden","Heritage & Religion","High","South Bastar Circuit","Mama Bhanja Temple Barsur is a temple destination in Dantewada, Chhattisgarh.","heritage, culture",""
"Danteshwari Temple","Chhattisgarh","Dantewada","Dantewada","Jagdalpur","Temple","Famous","Heritage & Religion","High","South Bastar Circuit","Danteshwari Temple is a temple destination in Dantewada, Chhattisgarh.","heritage, culture",""
"Dholkal Ganesha","Chhattisgarh","Dantewada","Dholkal","Jagdalpur","Heritage","Famous","Heritage & Religion","High","South Bastar Circuit","Remote hilltop Ganesha shrine reached by a forested trek.","heritage, culture",""
"Bailadila Hills","Chhattisgarh","Dantewada","Kirandul","Jagdalpur","Mountain","Famous","Nature","High","South Bastar Circuit","Bailadila Hills is a mountain destination in Dantewada, Chhattisgarh.","nature",""
"Farasgaon Waterfall","Chhattisgarh","Kondagaon","Farasgaon","Jagdalpur","Waterfall","Hidden","Nature","High","Keshkal-Kondagaon Circuit","Farasgaon Waterfall is a waterfall destination in Kondagaon, Chhattisgarh.","nature, waterfalls",""
"Keshkal Valley","Chhattisgarh","Kondagaon","Keshkal","Jagdalpur","Valley","Famous","Valley","High","Keshkal-Kondagaon Circuit","Scenic forested valley and gateway to the waterfall-rich Keshkal region.","valley",""
