"place_name","state_ut","district","city_or_town","nearest_major_city","category","visibility","tourism_type","tourism_potential","circuit","description","experience_tags","source"
"Gompa Buddhist Temple - Itanagar, Arunachal Pradesh, India","Arunachal Pradesh","Papum Pare","Naharlagun","Guwahati","Religious","Offbeat","Heritage & Religion","High","Itanagar-Naharlagun Circuit","Gompa Buddhist Temple - Itanagar, Arunachal Pradesh, India is a religious destination in Papum Pare, Arunachal Pradesh.","culture, heritage, pilgrimage",""
"State Museum","Arunachal Pradesh","Papum Pare","Naharlagun","Guwahati","Cultural","Offbeat","Culture & Heritage","Medium","Itanagar-Naharlagun Circuit","State Museum is a cultural destination in Papum Pare, Arunachal Pradesh.","culture, heritage",""
"Taktsang Gompa, Tawang - Bumla Road, Tawang","Arunachal Pradesh","Tawang","Tawang","Religious","","Offbeat","nan","Medium","Tawang-Bumla Circuit","Taktsang Gompa, Tawang - Bumla Road, Tawang is a nan destination in Tawang, Arunachal Pradesh.","nan",""
"Tawang Monastery (Galden Namgey Lhatse)","Arunachal Pradesh","Tawang","Tawang","Tezpur","Monastery","Famous","Heritage & Religion","High","Tawang-Bumla Circuit","Major Buddhist monastery and one of Arunachal Pradesh's best-known cultural landmarks.","culture, heritage, pilgrimage",""
"Bomdila Buddhist Monastery - Bomdila, West Kameng District, Arunachal Pradesh, India","Arunachal Pradesh","West Kameng","Bomdila","Tezpur","Religious","Offbeat","Heritage & Religion","High","Bhalukpong-Bomdila-Dirang Circuit","Bomdila Buddhist Monastery - Bomdila, West Kameng District, Arunachal Pradesh, India is a religious destination in West Kameng, Arunachal Pradesh.","culture, heritage, pilgrimage",""
"Buddha Park","Arunachal Pradesh","West Kameng","Tawang","Tezpur","Recreation","Lesser-known","Recreation","Medium","Bhalukpong-Bomdila-Dirang Circuit","Buddha Park is a recreation destination in West Kameng, Arunachal Pradesh.","recreation",""
"Namdapha National Park","Arunachal Pradesh","Changlang","Miao","Dibrugarh","Mountain","Famous","Nature","High","Namdapha-Pangsau Circuit","Large protected forest landscape known for biodiversity and remote wilderness experiences.","nature",""
"Anini","Arunachal Pradesh","Dibang Valley","Anini","Roing","Mountain","Lesser-known","Nature","Medium","Roing-Mayodia-Mishmi Circuit","Anini is a mountain destination in Dibang Valley, Arunachal Pradesh.","nature",""
"Pasighat","Arunachal Pradesh","East Siang","Pasighat","Dibrugarh","Mountain","Famous","Nature","High","Siang Valley Circuit","Pasighat is a mountain destination in East Siang, Arunachal Pradesh.","nature",""
"Roing","Arunachal Pradesh","Lower Dibang Valley","Roing","Tinsukia","Trek","Famous","Adventure","High","Roing-Mayodia-Mishmi Circuit","Roing is a trek destination in Lower Dibang Valley, Arunachal Pradesh.","trekking, adventure",""
