place_name,state_ut,district,city_or_town,nearest_major_city,category
Tikarpada Wildlife Sanctuary & Satkosia Gorge,Odisha,Angul,Tikarpada,Angul,Wildlife & Nature
Harishankar Temple,Odisha,Balangir,Khaprakhol,Balangir,Religious & Natural Wonders
Debrigarh Wildlife Sanctuary,Odisha,Bargarh,Burla,Sambalpur,Wildlife & Nature
Akhandalamani Temple Aradi,Odisha,Bhadrak,Aradi,Bhadrak,Religious & Spiritual
Barabati Fort,Odisha,Cuttack,Cuttack,Cuttack,Fort
Deojhar Waterfall,Odisha,Cuttack,Narasinghpur,Cuttack,Waterfall
Dhabaleswar Temple & Suspension Bridge,Odisha,Cuttack,Cuttack,Cuttack,Religious & Spiritual
Lalitagiri Buddhist Archaeological Site,Odisha,Jajpur,Lalitagiri,Cuttack,Buddhist Heritage
Netaji Birth Place Museum,Odisha,Cuttack,Cuttack,Cuttack,Museum
Odisha State Maritime Museum,Odisha,Cuttack,Cuttack,Cuttack,Museum
Sapua Project Dam,Odisha,Dhenkanal,Hindol,Dhenkanal,Water Body
Gandahati Waterfall,Odisha,Gajapati,Parlakhemundi,Berhampur,Waterfall
Khasada Waterfall,Odisha,Gajapati,Kamalapur,Berhampur,Waterfall
Padmasambhava Maha Vihara,Odisha,Gajapati,Chandragiri,Berhampur,Buddhist Heritage
Aryapalli Beach,Odisha,Ganjam,Aryapalli,Berhampur,Beach
Gopalpur Beach,Odisha,Ganjam,Gopalpur,Berhampur,Beach
Maa Tara Tarini Temple,Odisha,Ganjam,Purushottampur,Berhampur,Religious
Potagada Fort,Odisha,Ganjam,Ganjam,Berhampur,Fort
Marine Aquarium & Regional Centre Paradeep,Odisha,Jagatsinghpur,Paradeep,Cuttack,Museum
Ratnagiri Buddhist Archaeological Site,Odisha,Jajpur,Ratnagiri,Cuttack,Buddhist Heritage
Dokrichanchara Waterfall & Cave,Odisha,Kalahandi,Dharamgarh,Bhawanipatna,Waterfall
Daringbadi,Odisha,Kandhamal,Daringbadi,Berhampur,Hill Station
Daringbadi Hill View Park,Odisha,Kandhamal,Daringbadi,Berhampur,Viewpoint
Putudi Waterfall,Odisha,Kandhamal,Phulbani,Phulbani,Waterfall
Sanaghagara Waterfall,Odisha,Kendujhar,Keonjhar,Keonjhar,Waterfall
Badaghagara Waterfall,Odisha,Kendujhar,Keonjhar,Keonjhar,Waterfall
Gundichaghagi Waterfall,Odisha,Kendujhar,Keonjhar,Keonjhar,Waterfall
Gonasika,Odisha,Kendujhar,Gonasika,Keonjhar,Nature & Heritage
Bhimkund,Odisha,Kendujhar,Bhimkund,Keonjhar,Waterfall
Ghatagaon Tarini Temple,Odisha,Kendujhar,Ghatagaon,Keonjhar,Religious
Khiching Museum & Kichakeshwari Temple,Odisha,Mayurbhanj,Khiching,Baripada,Heritage
Similipal National Park,Odisha,Mayurbhanj,Baripada,Baripada,Wildlife
Barehipani Falls,Odisha,Mayurbhanj,Similipal,Baripada,Waterfall
Joranda Falls,Odisha,Mayurbhanj,Similipal,Baripada,Waterfall
Nilamadhab Temple Kantilo,Odisha,Nayagarh,Kantilo,Bhubaneswar,Religious
Similijhar Waterfall,Odisha,Nayagarh,Nayagarh,Bhubaneswar,Waterfall
Digabareni Pillar,Odisha,Puri,Puri,Bhubaneswar,Heritage
Maa Baliharachandi Temple,Odisha,Puri,Puri,Bhubaneswar,Religious
Niladri Beach,Odisha,Puri,Puri,Bhubaneswar,Beach
Sakshi Gopal Temple,Odisha,Puri,Sakhigopal,Bhubaneswar,Religious
Gundicha Temple,Odisha,Puri,Puri,Bhubaneswar,Religious
Jagannath Temple Puri,Odisha,Puri,Puri,Bhubaneswar,Religious
Markandeshwar Temple Puri,Odisha,Puri,Puri,Bhubaneswar,Religious
Vimala Temple Puri,Odisha,Puri,Puri,Bhubaneswar,Religious
Sudarshan Crafts Museum,Odisha,Puri,Puri,Bhubaneswar,Museum
Sunara Gauranga Temple,Odisha,Puri,Puri,Bhubaneswar,Religious
Ghanteswari Temple Chipilama,Odisha,Sambalpur,Chipilama,Sambalpur,Religious
Maa Samaleswari Temple,Odisha,Sambalpur,Sambalpur,Sambalpur,Religious
Hirakud Dam,Odisha,Sambalpur,Burla,Sambalpur,Dam & Nature
Hirakud Reservoir,Odisha,Sambalpur,Burla,Sambalpur,Water Body
Khandadhar Waterfall,Odisha,Sundargarh,Bonai,Rourkela,Waterfall
Puri Beach,Odisha,Puri,Puri,Bhubaneswar,Beach
Chandrabhaga Beach,Odisha,Puri,Konark,Puri,Beach
Astaranga Beach,Odisha,Puri,Astaranga,Puri,Beach
Ramachandi Beach,Odisha,Puri,Konark,Puri,Beach
Konark Sun Temple,Odisha,Puri,Konark,Puri,Heritage
Raghurajpur Heritage Craft Village,Odisha,Puri,Raghurajpur,Puri,Culture
Chilika Lake,Odisha,Puri,Satapada,Bhubaneswar,Nature
Nalabana Bird Sanctuary,Odisha,Khordha,Nalabana,Bhubaneswar,Wildlife
